name,link
"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Gifts, Holiday, Parties, Concessions, Pantry, Non Melting, Party, 60 Individually Wrapped Full Size Bars ",www.amazon.com/AirHeads-Chewy-Fruit-Variety-Packaging/dp/B0017L4PH0/ref=sr_1_1?qid=1684652872&s=grocery&sr=1-1
"Mott's Fruit Flavored Snacks, Assorted Fruit, Pouches, 0.8 oz, 40 ct ",www.amazon.com/Motts-Snacks-Assorted-Gluten-Pouches/dp/B00KRFL5SO/ref=sr_1_2?qid=1684652872&s=grocery&sr=1-2
"Doritos Nacho Cheese Flavored Tortilla Chips, 1oz Bags (40 Pack) ",www.amazon.com/Doritos-Nacho-Cheese-Flavored-Tortilla/dp/B072C8HBGW/ref=sr_1_3?qid=1684652872&s=grocery&sr=1-3
"Smartfood White Cheddar Flavored Popcorn, 0.625 Ounce (Pack of 40) ",www.amazon.com/Smartfood-White-Cheddar-Flavored-Popcorn/dp/B01KQLULJW/ref=sr_1_4?qid=1684652872&s=grocery&sr=1-4
"Lay's Classic Potato Chips, 1 Ounce (Pack of 40) ",www.amazon.com/Lays-Classic-Potato-Chips-Ounce/dp/B072M1NC4M/ref=sr_1_5?qid=1684652872&s=grocery&sr=1-5
"EXTRA Spearmint Sugarfree Chewing Gum, 15 Pieces (Pack of 10) ",www.amazon.com/Extra-Spearmint-Sugarfree-Gum-Piece/dp/B001NI0MQ0/ref=sr_1_6?qid=1684652872&s=grocery&sr=1-6
"Cheetos Puffs Cheese Flavored Snacks, 0.875 Ounce (Pack of 40) ",www.amazon.com/Cheetos-Puffs-Cheese-Flavored-Snacks/dp/B0792T5NZX/ref=sr_1_7?qid=1684652872&s=grocery&sr=1-7
"Nerds Gummy Clusters Candy, Rainbow, Resealable 8 Ounce Bag ",www.amazon.com/Nerds-Gummy-Clusters-8-oz/dp/B08LGD7WRZ/ref=sr_1_8?qid=1684652872&s=grocery&sr=1-8
"Orville Redenbacher's Gourmet Popcorn Kernels, Original Yellow, 8 Lb ",www.amazon.com/Orville-Redenbachers-Gourmet-Popcorn-Original/dp/B00819SSGK/ref=sr_1_9?qid=1684652872&s=grocery&sr=1-9
Grandma's Cookies Variety Pack of 30 ,www.amazon.com/Grandmas-Cookies-Variety-Pack-Count/dp/B076BYR9JP/ref=sr_1_10?qid=1684652872&s=grocery&sr=1-10
"PLANTERS Deluxe Lightly Salted Whole Cashews, Party Snacks, Plant-Based Protein 18.25oz (1 Canister) ",www.amazon.com/Planters-Deluxe-Cashews-Lightly-Canister/dp/B00FFJ2GRG/ref=sr_1_11?qid=1684652872&s=grocery&sr=1-11
"Bauducco Vanilla Wafers - Crispy Wafer Cookies With 3 Delicious, Indulgent, Decadent Layers of Vanilla Flavored Cream - Delicious Sweet Snack or Desert - 5.82oz (Pack of 1) ",www.amazon.com/Bauducco-Cookie-Wafer-Sugar-Vanilla/dp/B007W3DDUW/ref=sr_1_12?qid=1684652872&s=grocery&sr=1-12
"LIFE SAVERS Wint-O-Green Breath Mints Hard Candy, Sharing Size, 13 oz Bag ",www.amazon.com/SAVERS-Wint-Green-Breath-Sharing/dp/B09VRJFML3/ref=sr_1_15?qid=1684652872&s=grocery&sr=1-15
"Pepperidge Farm Goldfish Cheddar Crackers, 1.5 oz. Snack Packs, 30-count Multi-pack Box ",www.amazon.com/Pepperidge-Farm-Goldfish-Crackers-Multi-pack/dp/B0116WQ62G/ref=sr_1_16?qid=1684652872&s=grocery&sr=1-16
"Fruit Roll-Ups Fruit Fusion Assorted Flavors, 16 Ct ",www.amazon.com/Betty-Crocker-Roll-Ups-Gushers-Variety/dp/B07RTJWCMS/ref=sr_1_17?qid=1684652872&s=grocery&sr=1-17
"Wonderful Pistachios, No Shells, Variety Pack, 0.75oz (Pack of 9) Roasted & Salted (4), Chili Roasted (3), Honey Roasted (2) ",www.amazon.com/Wonderful-Pistachios-Shell-Nuts-Variety/dp/B08DX4JCKQ/ref=sr_1_18?qid=1684652872&s=grocery&sr=1-18
