review,score
"The only problem, I actually counted the amount in the box. There were only 59 in the box, not 60",4.0
Me and my wife and my kids love them,5.0
Definitely one of the best candies you can buy for selling at school. First of all they don't melt while in a backpack for hours. Second of all you can make an 80% profit margin by selling 2 airheads for $1. And last of all I sold all 60 airheads in just 4 days!,5.0
"The price is great, but there are mostly grape and orange flavors in the box.",3.0
"Box and packaging in great shape, kids love them.",5.0
Good price,5.0
I bought these for my grandson who lives a few hours away from us.and he loved them. He asked me to send him some more. There was alot of different flavors and that was the best part. They are very affordable and will be sending more often.,5.0
"I wasn't just a regular mom after I made this purchase....I was a COOL MOM 😂 Seriously, my kiddos were so thrilled and lots of bribery followed.",5.0
Satisfies my craving to bite people,5.0
This product was perfect to provide treats for my students!,5.0
"They aren’t very soft, but taste good.",4.0
"I have always LOVED these! As much as my kids. I've included them in care packages for the homeless, as well. I am DONE with these after buying enough of these large boxes of ASSORTED FRUIT flavor snacks, o ly to throw away 75% if them because I cannot stand the CARROT flavored ones, and I'm sorry but I guess I missed the part in nutrition class about carrot being a fruit. Wow. This is unacceptable and I want so much money back.",2.0
"These are so much more healthy than reaching for candy when you want something sweet. They aren't sweet though, just flavorful.",5.0
"Kids love them, everyone loves them.  Always tasty and don't taste artificial like some brands.  You would be able to tell the difference in a blind fold test!",5.0
Grab and go for the summer ball games.,5.0
"they really are very flavorful and the portions are great.i like to keep something with me at all times just in case of a sugar 'crash', and these are perfect for it.",5.0
My family loves these.  The fruit snacks are very fresh - soft with great flavors and not stuck together.  The portion sizes are perfect too.,5.0
"Big and cheap, no complaints, and as expected flavor, same as the store.",5.0
Fresh tasting. Soft and chewy.,5.0
Good treat,5.0
Stale chips and no air in the bags and only a partial refund don’t buy!!,1.0
I buy these regularly for my kiddos because they insist the little bags taste better than the big bag 🙄 But at least I can get the little bags at a decent price! I agree they are always fresh and this ends up being a great buy - and easier to travel with the smaller bags too!,5.0
Perfect size and a good price.  Great for lunches for kids or parties or a  beach day!,5.0
"Product expires next month, not fresh at all",1.0
I ordered these in mid-May for a graduation party Memorial Day weekend. They expired in April. :(,1.0
The chips were stalled.,1.0
I like the price of them and good for school lunch,5.0
"Most of the chips are just plain tortilla chips, there’s so little seasoning in these that eating a bag becomes disappointing. Every maybe 1 in five or six bags there will be a decently seasoned chip.",1.0
"Get in ma belly!!! Dang these bags are perfect for anytime snacking, in kids lunches, picnics. You name it. Only suggestion is to hide box or you can kiss your summer bod goodbye.Well packaged, fresh, perfect on the go size.",5.0
This last order we got. Majority of the bags were deflated and stale.,1.0
"My smart pop popcorn was stale, I was hoping it was just the first bag but the others that were eaten were stale also. I had purchased them for a camping trip and after friends had first bag no one wanted another.",1.0
"I love this low-calorie, tasty, satisfying popcorn. Makes a great snack for anyone counting calories.",5.0
I like the quality of the popcorn and the perfect portion packaging.,5.0
"The first 2 boxes of 40 were fine but this time 2 of the bags were open on the bottom and there was some loose, stale popcorn in the box. There was no damage to the box so this must have happened at the factory. The white cheddar popcorn is awesome but it's not worth it if I can't count on receiving edible product.",3.0
Arrived as stated bags were not crushed. It’s a favorite snack at my house. Low in calories and personal size bags are perfect.,5.0
"I have ordered this popcorn a few times. I enjoy the flavor, not to bad on carbs either. The low rating is due to the 7 dollar price increase. I understand prices will go up, but not by 7 bucks overnight!  I will not order from this seller again unless they decide to go back down on the huge price increase.",2.0
"They arrived in May, ""Guaranteed Fresh ....until 4 July 2023.""  we opened the carton. they are stale.",1.0
ad shows a SEA SALT variety. NONE ! MISLEADING.,1.0
The box it came in was busted & half of the bags were busted & not eligible for refund!!!!,1.0
"As always this cheese flavored popcorn never disappoints! This particular item comes with 40 small personal sized bags, which is perfect to keep yourself to a predetermined amount, share with others, or for ease of storage. Highly recommend, I’ve bought multiple times before and will be buying again.",5.0
"I received the chips on May 24th and they expire on July 18th. The chips were a little stale but still ok to eat. Guess I’ll be eating these up quickly. Honestly, you shouldn’t sell chips in this quantity with expiration dates so close to the purchase date.",2.0
"A huge waste of plastic etc., very bad for the earth and for health, but at least I don't end up eating a whole ""party size"" bag.YMMV.",5.0
The chips arrived  an they expire July 2023.I just got them May 2023.I am very disappointed 😞They are  stale,1.0
"I recieved my order on May 26, 2023. Best Buy purchase date was May 9, 2023. That is unexceptable! Very diapointed!",1.0
Just threw out an order that expired 2 years ago! I have another one expiring in a month.,2.0
They taste old. Waste of money.,2.0
"Today is 5.22.23. I just ate a pack of these with date = 10/2021!Crisp, no rancid oil, Yummy!Buy and enjoy!I will add that I store them in a cool (about 68 F) dark place (darkness is from storing in shipping box, flaps closed)*** I buy my food. This is not a freebie for review situation!I just noticed so many concerns about the dates. Hope this helps!",5.0
Love this just enough  .,5.0
"I love these, but there was less than a month before the “best by” date when received.  Not only that, but this order - I’ve got them on subscribe and save - tasted of rancid oil.  Not sure if that’s a function of the date or if it was just a bad batch, but this order was inedible!",1.0
About 15-20 bags were already opened. It looked like they might have gotten cut in the box,4.0
My favorite for many years,5.0
"My long time FAVORITE Extra Sugar Free stick-gum Flavor, and one that i ALWAYS prefer to buy, long as the price doesn't get too far above what other Extra Flavors 'same boxed packs' cost.  Still not something i should chew too many times a day but, i do sometimes lose track, knowing that 'synthetic' sweeteners while low in carbs, still can (long term), damage our internal health.  Regardless, this is a Great tasting sugar-free Gum!!",5.0
Great amount for a great price,5.0
I love the taste and I chewed the gum myself.,5.0
Good value in bulk.,5.0
Perfect,5.0
I love this gum. It lasts a long time and tastes great!,5.0
"this is pretty much the same exact thing as the things you'd see at your local gas station or convenience store, but it is really nice to be able to have a good amount of gum prepared incase one case runs out",5.0
Great price for this gum. Love this flavor. Will repurchase.,5.0
My daughters favorite gum and at an affordable price.,5.0
"Will not purchase again, item is not fresh , slightly stale. The expiration date is less than a month and I just received a couple days ago. Disappointing.",1.0
Great product,5.0
The puffs were expired the same month. Jan 2023,1.0
"Seriously?! 14 days to eat 40 bags of Cheetos before they expire?????Opened one and it was already stale. Glad it’s the end of the school year, will be cancelling my auto delivery. Buy with caution!",1.0
Within 1 months of expiration!!!! Ridiculous!!!!!,1.0
The only thing I dislike is the expiration date is 26 days away and I purchased for a graduation party in July.  Should have waited,4.0
"I was so excited when these came as they are my faves. Unfortunately they were staled in taste, it’s dated for Aug 1, 2023. The problem is the bags are slightly opened which cause them to become staled!",1.0
"Who doesn't love a big box of snacks? Cheetos are wonderfully fresh, popping with flavor.",5.0
"Wow I got ripped off, only 3 chips in one bag",1.0
These were perfect for my hubby’s Easter basket,5.0
best candy,5.0
"This candy is Definitely for children. My teenage daughter enjoyed every bite. I gave her my bag, to share with her friends.",3.0
These are my absolute favorite!!!,5.0
So good!!!,5.0
Sour taste wrapped in sweet tiny bits. What’s not to like about candy,5.0
Delicious and priced right,5.0
One of the best candies of all time. Love everything about these except that they aren’t healthy. Please get rid of horrible dyes and then they would be perfect! Love the taste. Yum yum yum!!!,5.0
A sweet treat.,5.0
I’m not a big nerds fan but these are delicious and I can’t stop eating them!!,5.0
"These are great, sweet, tangy, chewy. Have to hide them from the kids",5.0
"Commercial popper , lots of un popped kernels, took 3 shows to pop it all and did not notice a difference in in pop ratio to duds in bottom tray. I did expect a higher ratio for gourmet popcorn compared to the big bulk bags, will probably go back to the big bags and zip lock to keep the corn fresh once opening",4.0
"I made four 1/3 cup batches , all were tuff not tender and fluffy will not buy again.",2.0
"Using to make caramel and cinnamon corn. Have lots of unpopped kernels, in each attempt. Probably won't buy again. Will choose to use Kirkland microwave popcorn in the future.",3.0
Great pop corn probably on my 9 bottles you won’t be disappointed  better them the movie and healthier. Buy and try your love it 👍👍👍,5.0
Great product and price is good.,5.0
Great low calorie snack,5.0
kernels are old taste bad,1.0
I like to make fresh popcorn. This container helps me to do that.,5.0
"The popcorn was delivered fresh. Once popped, it was nice and fluffy, but had virtually no flavor. Needed to coat it with butter and salt.",4.0
"Very large, handy container. Easy to handle.Tasty, too!",5.0
Personally the hard cookies are my favorite. Not too pleased that you get like one or two oat raisin in a box which is my spouse's favorite.,4.0
The cookies were stuck together. They didn’t come in the original box. The one I tasted was stale. I looked for an “out of date marking “ but couldn’t find one on the cookies. I gave a 1 star because that arrived on time. Won’t order these again!,1.0
Most of the cookies were good but a few of the packs seemed really old and hard for some reason,3.0
High fructose,3.0
These cookies have a home made taste and great price.,5.0
"Great taste,",5.0
Always so fun!,5.0
I loved all of them -no problems,5.0
"Old product , broken and crumbly .  Content  contains  G M O  will not  buy again  .  Old Bear here",1.0
"nice price fast friendly delivery right to my door  thanks, nice taste soft  fresh thanks",5.0
Nothing really to say - I love cashews!,5.0
Very yummy and not as salty as the regular version.,5.0
Excellent quality cashews that tastes great.,5.0
"PLANTERS Deluxe Lightly Salted Whole Cashew are the only ones to buy ,Love the taste and you can't beat the price.",5.0
I love Planters' crispy cashews but these aren't them.,3.0
⭐️⭐️⭐️⭐️⭐️Stars of Awesomeness! Perfect in Every Way! Thank You So Much!,5.0
Fresh,5.0
Planters remains a very good product,5.0
There was a lot of broken bits in the bottom of the can and the fine dust.,5.0
What can I say …. Delicious cashews,5.0
This one was crushed,2.0
it is a little bit too sweet for me,4.0
What a poor tasting wafer. I suggest not buying these.,2.0
Great price. I have them in my subscribe and save. It's a littl4 gift to myself once a month.,5.0
"The price is amazing! Unbelievable and it taste really good! If you’re from the Caribbean and you like eating the “bridge” snack, this taste just like it! It’s like a vanilla waffle cone snack, low key taste like icecream waffle lol  but yeah you should buy, kinda has crumbs when you’re eating, not a lot though. It doesn’t break away when you’re eating it’s sturdy which is good, came well packaged , I also got for my family and they loved it, kids and adults, it has a nice little crunch to it, it’s not tough and it’s not hard it’s just right. It’s not like a crackers though and it’s not a biscuit but it’s a nice snack.",5.0
"This vanilla flavored wafer is average!  It's not very sweet, it smells like vanilla, and the taste is so-so. The packaging is different from the supermarket, and it doesn't taste as delicious as the previous supermarket packaging. The price is also cheap.",2.0
Too waxy in taste and how it made our mouths feel.,1.0
I've had similar products from other brands at the same price so I tried these. Reminds me of rice cakes with a whiff of coconut.,1.0
"Fresh , delicious and easy open pull tab at one end of package. Not resealable but I stored them in a container I have . I definitely will continue buying these wafers . Was shocked how fresh , delicious & creamy vanilla wafers are .",5.0
"It you’re familiar with this style of wafer cookie, one of the joys of eating them is selecting one delicate crumb free wafer and tasting the delicate layers of wafer and vanilla melt in your mouth.  Amazon shipping makes that dream nearly impossible.  This is my second time ordering these hoping that they would at least wrap in bubblewrap or a box, but no they insist on throwing them loosely into a light paper envelope mailer.  Yes, crumbled rounded edges and crumbs everywhere when you open the cookie packaging.  I’ll eat these without the joy of delicacy, but at least be able to enjoy the flavor.",4.0
Delicious and fresh,5.0
"Product came in perfect condition, good quality candy’s. Very decent price!",5.0
"Love these mints, nothing bad to say. If you're a texture person, something I've noticed with these mints is if you get the big bag like this, they're usually softer in texture. The smaller bags like you get off the 'pegs' at a store have a harder texture and more intense flavor, not that these are lacking though! Just a thing to note for your preferences.",5.0
My granddaughters obsession! lol! Great price!,5.0
They have great fruit flavors. The grandkids love them.,5.0
"Always fresh, I repeat, ALWAYS FRESH!Always delicious!!My ""new""go-to snacks.The only that I can think of is you can't ever find the Family Size one's.I end up buying AND eating at least a bag a day (AT LEAST a bag a day)",5.0
Love them,5.0
Just got these for overnight shipping and did not disappoint :),5.0
Ate them too fast need sale price to buy again,5.0
"Good taste, not sticky. Can't eat just a few.",4.0
"Delivered on time, great snack for all my grandchildren!",5.0
They're goldfish. They're yummy. Enough said.,5.0
Great size for kids especially when half of them end up in your car 😜.,5.0
Everything was as expected.,5.0
"Perfect size for kids to snack or take traveling. I hated opening a bag or buying a large container of gold fish as the kids either ate too many in one sitting or didn't feel like eating them over a few days, so larger containers went stale. I will continue buying gold fish this way!",5.0
The box came a little smashed but I opened it and everything was perfect. Great snack for kids. My daughter and her colleagues at school love it!,5.0
"Good mix, pretzels are super good!",5.0
Like giving kids this snack just enough,5.0
"I'm a Sped. teacher. The mix in this box keeps everyone happy, and it's easy on my pocketbook. Anyone who has kids to feed should like the variety and the trusted brand at this price and convenient format. : )",5.0
"I was addicted to the crackers, great price but often stale tasting. The expiration date would be good/unexpired, but they just tasted stale. Once in a while I would get a fresh box, and it was really good! But you can not count on it being fresh every time so I quit buying them.",3.0
My kids loves these and the price was good.,5.0
The flavor hasnt changed since i was a kid,5.0
My kids loves these. I like the variety and it appeazes each kid.  Bought a few times in Amazon deals already!,5.0
Did not mine the Gushers. They were meaty and sticky.,3.0
Yummy as always! Thx Amazon for the great price and discount!!!! Amazon is always posting sales on these items watch out!!!! 5stars,5.0
Yum my childhood,5.0
Very good,5.0
I like that you get three different candies in the box and the price is pretty good also .,5.0
Great snacks,5.0
